ram_gb,ssd,hdd,display_size,price,Marca,Marca del Procesador,Modelo del Procesador,Sistema Operativo
8,512,0,13.3,97990.0,hp,intel,core i5,windows
8,512,0,15.6,54990.0,asus,intel,core i5,windows
8,512,0,15.0,59990.0,lenovo,intel,core i5,windows
8,512,0,15.6,53990.0,lenovo,intel,core i5,windows
16,512,0,14.0,66999.0,hp,intel,core i5,windows
8,512,0,14.0,60990.0,acer,intel,core i5,windows
8,512,0,14.0,59999.0,hp,intel,core i5,windows
16,512,0,15.6,79990.0,dell,intel,core i5,windows
8,512,0,15.6,63990.0,asus,intel,core i5,windows
8,512,0,15.6,63990.0,hp,intel,core i5,windows
8,512,0,14.0,55990.0,lenovo,intel,core i5,windows
16,512,0,14.0,69490.0,dell,intel,core i5,windows
16,512,0,14.0,89390.0,dell,intel,core i5,windows
8,512,0,13.3,74990.0,asus,intel,core i5,windows
8,512,0,14.0,64990.0,lenovo,intel,core i5,windows
8,512,0,15.6,66490.0,lenovo,intel,core i5,windows
16,512,0,15.6,89702.0,dell,intel,core i5,windows
16,512,0,15.6,70990.0,lenovo,intel,core i5,windows
16,512,0,17.3,58990.0,asus,intel,core i5,windows
8,512,0,15.6,57500.0,lenovo,intel,core i5,windows
8,512,0,14.0,79990.0,dell,intel,core i5,windows
8,512,0,14.0,56541.0,msi,intel,core i5,windows
16,512,0,17.3,59990.0,asus,intel,core i5,windows
16,512,0,13.0,64990.0,lenovo,intel,core i5,windows
8,512,0,14.0,61290.0,dell,intel,core i5,windows
8,512,0,14.0,54990.0,lenovo,intel,core i5,windows
8,512,0,16.0,84990.0,asus,intel,core i5,windows
8,512,0,16.0,72500.0,hp,intel,core i5,windows
8,512,0,16.0,87990.0,lenovo,intel,core i5,windows
8,512,0,16.0,69490.0,dell,intel,core i5,windows
8,512,0,16.0,68990.0,lenovo,intel,core i5,windows
8,512,0,16.0,77990.0,lenovo,intel,core i5,windows
8,512,0,16.0,105990.0,asus,intel,core i5,windows
8,512,0,16.0,79990.0,msi,intel,core i5,windows
8,512,0,16.0,69990.0,lenovo,intel,core i5,windows
8,512,0,16.0,71090.0,dell,intel,core i5,windows
8,512,0,16.0,114990.0,dell,intel,core i5,windows
8,512,0,16.0,147000.0,lenovo,intel,core i5,windows
8,512,0,16.0,106490.0,hp,intel,core i5,windows
8,512,0,16.0,70990.0,lenovo,intel,core i5,windows
8,512,0,16.0,111999.0,hp,intel,core i5,windows
8,512,0,16.0,76990.0,hp,intel,core i5,windows
8,512,0,16.0,77990.0,dell,intel,core i5,windows
8,512,0,16.0,88990.0,dell,intel,core i5,windows
8,512,0,16.0,73519.0,dell,intel,core i5,windows
8,512,0,16.0,88990.0,asus,intel,core i5,windows
8,512,0,16.0,114999.0,hp,intel,core i5,windows
